action,feature_code,feature_name,screen_name,note,proposed_module,proposed_group_code,proposed_group_name,proposed_group_serial,proposed_item_serial
KEEP,AD-CMP,Company Setup,/setup/company,,Settings,AD-SETG,System Setup,0,0
KEEP,AD-LOC,Location Setup,/setup/locations,,Settings,AD-SETG,System Setup,0,1
KEEP,AD-CUR,Currency Setup,/setup/currencies,,Settings,AD-SETG,System Setup,0,2
KEEP,AD-PDC,Period Close,/setup/period-close,,Settings,AD-SETG,System Setup,0,3
KEEP,AD-BDC,Backdated Entry Control,/setup/backdated-entry-control,,Settings,AD-SETG,System Setup,0,4
KEEP,AD-QIS,Quick Invoice Setup,/setup/quick-invoice-setup,,Settings,AD-SETG,System Setup,0,5
KEEP,AD-CNT,Country Setup,/setup/countries,found live in Current_master.csv - not in old fn_seed_client_modules.sql at all,Settings,AD-SETG,System Setup,0,6
KEEP,AD-DIV,Country Divisions,/setup/divisions,found live - was never in fn_seed_client_modules.sql,Settings,AD-SETG,System Setup,0,7
KEEP,AD-CIT,Cities,/setup/cities,found live - was never in fn_seed_client_modules.sql; fixed feature_name capitalization,Settings,AD-SETG,System Setup,0,8
KEEP,AD-PDT,Print Templates,/setup/print-templates,found live - was never in fn_seed_client_modules.sql,Settings,AD-SETG,System Setup,0,9
KEEP,AD-ACT,Accounting Setup,/setup/accounting,found live - was never in fn_seed_client_modules.sql; fixed feature_name typo (was "Accouting Setup"),Settings,AD-SETG,System Setup,0,10
KEEP,MST-CMN,Common Masters,/master/common-masters,shared/cross-module - no single owning business module,Settings,AD-SETG,System Setup,0,11
KEEP,AD-PAYTERM,Payment Terms,/master/payment-terms,shared - used by both Sales Order and PO,Settings,AD-SETG,System Setup,0,12
DISCARD,AD-M001,Common Masters,/master/common-masters,duplicate of MST-CMN - same screen,,,,,
KEEP,AD-USR,User Management,/setup/users,,Settings,AD-USMG,User Management,1,0
KEEP,AD-PRM,User Permissions,/setup/permissions,,Settings,AD-USMG,User Management,1,1
KEEP,AD-ULS,User Location Setup,/setup/user-location-access,found live - was never in fn_seed_client_modules.sql,Settings,AD-USMG,User Management,1,2
KEEP,AD-MST,Master Menu,/setup/master-menu,found live - was NOT actually missing as I earlier assumed; already exists as a Supabase-only patch,Settings,AD-USMG,User Management,1,3
DISCARD,AD-MN,Setup Master Menu,/setup/locations,stray/buggy row - name says Master Menu but screen_name is /setup/locations (mismatched),,,,,
KEEP,MST-CUST,Customer Master,/master/customers,,Settings,SL-MST,Sales Masters,2,0
KEEP,SL-PRC,Price Master,/sales/price-master,,Settings,SL-MST,Sales Masters,2,1
KEEP,SL-EXE,Sales Executives,/sales/sales-executives,,Settings,SL-MST,Sales Masters,2,2
KEEP,MST-SUPP,Supplier Master,/master/suppliers,,Settings,PR-MST,Purchase Masters,3,0
KEEP,MST-PRD,Product Master,/master/products,,Settings,IN-MST,Inventory Masters,4,0
DISCARD,AD-PRL,Product List,/master/products,duplicate of MST-PRD - same screen,,,,,
KEEP,MST-ITC,Item Categories,/master/item-categories,,Settings,IN-MST,Inventory Masters,4,1
DISCARD,AD-ICS,Product Category Master,/master/item-categories,duplicate of MST-ITC - same screen,,,,,
